,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
60,Mesar - prodajalec (m/ž),23.02.2021,Trebnje,WORKFORCE d.o.o.,https://www.deloglasnik.si/Zaposlitev/279569/Mesar-prodajalec-mz/,"  Za priznano slovensko trgovsko podjetje, ki ima številne poslovalnice širom Slovenije, iščemo komunikativno, pozitivno in samoiniciativno osebo za zasedbo delovnega mesta:   Mesar – prodajalec (m/ž).  Vaše delo bo obsegalo: - Predpriprava mesnih...",10.02.2021,Jugovzhodna Slovenija,deloglasnik.si
61,Prodajalec mesa (m/ž),/,okolica Celja,WORKFORCE d.o.o. ,https://www.mojedelo.com/prodajalec-mesa-mz/d-514598,"Naš naročnik je uspešnopodjetje z dolgoletno tradicijo. Iščemo zanesljive, odgovorne in učljive kandidate za zasedbo delovnega mesta Prodajalec mesa (m/ž). Pridruži se odličnemu kolektivu in postani del zgodbe o uspehu.",27.1.2021,Savinjska,mojedelo.com
62,Viličarist Škofja Loka m/ž,/,ŠKOFJA LOKA,HSG KARIERA,https://www.mojedelo.com/vilicarist-skofja-loka-mz/d-515389,"WE MOVE, d.o.o. se širi tudi na GORENJSKO! Vsi, ki znate voziti viličarja in želite biti sam svoj šef, NE ODLAŠAJTE S PRIJAVO!",3.2.2021,Posavska,mojedelo.com
63,Pomočnik v proizvodnji (m/ž),23.02.2021,Trzin,WORKFORCE d.o.o.,https://www.deloglasnik.si/Zaposlitev/279588/Pomocnik-v-proizvodnji-mz/,"  Za našega naročnika, podjetje, ki deluje na področju proizvodnje plastičnih mrež za potrebe prehrambene industrije in tranporta, iščemo novega sodelavca za delovno mesto:   Pomočnik v proizvodnji (m/ž).  Vaše delo bo obsegalo: - opravljanje del ...",10.02.2021,Osrednjeslovenska,deloglasnik.si
64,Komercialist za področje laboratorijskih kemikalij in opreme m/ž,25.2.2021,Osrednjeslovenska regija,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/komercialist-za-podrocje-laboratorijskih-kemikalij-in-opreme-mz-752680-752680/,/,26.1.2021,Gorenjska,optius.com
65,Manager idej (m/ž) v okolici Ljubljane,6.3.2021,Ljubljana,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/manager-idej-mz-v-okolici-ljubljane-753689-753689/,"Mednarodno priznano podjetje z lastnim razvojem ponuja vznemirljivo karierno priložnost! V osrčje svoje številčne organizacijske strukture vabijo drznega inovatorja, ki bo skrbel, da dobre ideje v podjetju nikoli ne ostanejo v povojih. ",4.2.2021,Osrednjeslovenska,optius.com
66,GEOTEHNIK / GEOLOG - M/Ž,11. 04. 2021,TRBOVLJE,INŽENIRING BIRO SIMON KOVAČIČ S.P.,https://www.iskanjedela.si/search-jobs?jobId=2652603&RECENCY=3DAYSAGO&STATE=Zasavska,IŠČEM SODELAVCA GEOTEHNIČNE STROKE (LAHKO TUDI GEOLOG) Z OPRAVLJENIM STROKOVNIM IZPITOM S STALNIM NASTOPOM DELA V CELJU. ,10.02.2021,Zasavska,iskanjedela.si
67,Produktni menedžer m/ž,8.3.2021,Ljubljana/Velenje,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/produktni-menedzer-mz-754150-754150/,/,9.2.2021,Osrednjeslovenska,optius.com
68,Monter/serviser hladilne tehnike,/,Avstrija,Ise Industries.Si d.o.o.,https://www.mojedelo.com/monterserviser-hladilne-tehnike/d-515196,"Zadolžitve: montaža, vzdrževanje in popravila hladilnih sistemov, diagnostika in popravila v primeru okvar ter izvajanje zagonov..",2.2.2021,Tujina,mojedelo.com
69,Pomožni delavec (m/ž) v okolici Ljubljane,/,okolica Ljubljane,Trenkwalder d.o.o.,https://www.mojedelo.com/pomozni-delavec-mz-v-okolici-ljubljane/d-512425,Iščete delo v eni izmeni in zaposlitev za nedoločen čas ter obožujete terensko delo? Pridružite se podjetju z dolgoletno tradicijo na področju montaže talnih oblog in sanacije objektov. ,25.1.2021,Gorenjska,mojedelo.com
70,Strateški svetovalec (m/ž) v Kabinetu guvernerja,/,Ljubljana,Banka Slovenije,https://www.mojedelo.com/strateski-svetovalec-mz-v-kabinetu-guvernerja/d-516096,"V oddelku Kabinet guvernerja, kamor vabimo novega sodelavca ali sodelavko, nudimo guvernerju podporo pri izvrševanju njegovih nalog. V tem oddelku izvajamo najzahtevnejše strokovne naloge, svetujemo v zadevah iz p...",12.2.2021,Osrednjeslovenska,mojedelo.com
71,Voznik tovornega vozila (m/ž) v DC Ljubljana,/,Ljubljana,Mercator d.d.,https://www.mojedelo.com/voznik-tovornega-vozila-mz-v-dc-ljubljana/d-515991,"Vaše delo bo zajemalo: razvoz blaga po delovnih nalogih, pripravo transportnega vozila za razvoz, nakladanje in razkladanje blaga, vodenje predpisanih evidenc, zavarovanje blaga pred poškodbami in kvarom, preprečevanje odtujevanja blaga.",11.2.2021,Osrednjeslovenska,mojedelo.com
72,OPERATIVNA POMOČ PRI PRODAJI - TUJI TRGI - M/Ž,18. 02. 2021,NOVO MESTO,"Door Tech Group, trgovina in razvoj, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2646698&STATE=Jugovzhodna%20Slovenija,"kontaktiranje strank po telefonu, vsakodnevna uporaba računalnika, sestava ponudb, obdelava reklamacij, pomoč prodajnega predstavnika, sodelovanje pri postopku nabave in nakupa ",21.01.2021,Jugovzhodna Slovenija,iskanjedela.si
73,Strokovni sodelavec v kadrovski službi,/,Godovič,Brus Transport d.o.o.,https://www.mojedelo.com/strokovni-sodelavec-v-kadrovski-sluzbi/d-516715,Brus d.o.o. je mednarodno prepoznavno transportno podjetje z uveljavljeno blagovno znamko in dolgoletno tradicijo že od leta 1992. Vzpostavili smo obsežno mrežo izbranih zanesljivih partnerjev. Velik in sodoben vozni park tovornih vozil nam omogoč...,18.02.2021,Goriška,mojedelo.com
74,DELAVEC V PROIZVODNJI - M/Ž,18. 02. 2021,LOGATEC,PEME trgovina in predelava lesa d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2652817&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"SORTIRANJE IN ZLAGANJE DESK, EVIDENTIRANJE IN EMBALIRANJE IZDELKOV, SORTIRANJE IZDELKOV V PROIZVODNJI, PREVZEMANJE BLAGA V PROIZVODNJI, VZDRŽEVANJE DELOVNE OPREME TER ČIŠČENJE DELOVNEGA MESTA , OPRAVLJANJE DRUGIH DEL, KI SODIJO V OPIS DEL IN NALOG...",10.02.2021,Osrednjeslovenska,iskanjedela.si
75,Ročni orodjar m/ž izdelava novih orodij na lokaciji Železniki  in vzdrževanje orodij na lokacijah Trata ali Reteče,28.2.2021,"Železniki, Reteče, Trata","Domel, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/rocni-orodjar-mz-izdelava-novih-orodij-na-lokaciji-zelezniki-in-vzdrzevanje-orodij-na-lokacijah-trata-ali-retece-754611-754611/,"Smo veliko, uspešno, mednarodno uveljavljeno slovensko podjetje in vodilni evropski proizvajalec elektromotorjev za sesalnike. Z inovativnimi in visoko učinkovitimi izdelki negujemo uspešnost in rast podjetja ter novih programov. Uspeh na globalni...",12.2.2021,Gorenjska,optius.com
76,E037001 DIPL. BABICA DISPANZERSKA DEJAVNOST - M/Ž,03. 02. 2021,LJUBLJANA,ZDRAVSTVENI DOM LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2645024&STATE=Osrednjeslovenska,"-IZVAJANJE BABIŠKE IN ZDRAVSTVENE NEGE V SKLADU S STROKOVNO USPOSOBLJENOSTJO V ZDRAVSTVENEM VARSTVU ŽENSK, -SODELOVANJE V ZDRAVSTVENEM IN NEGOVALNEM TIMU PRI IZVAJANJU OSNOVNE ZDRAVSTVENE DEJAVNOSTI, -ORGANIZACIJA IN IZVAJANJE PROMOCIJE ZDRAVJA IN...",26.01.2021,Osrednjeslovenska,iskanjedela.si
77,SLIKOPLESKAR FASADER - M/Ž,05. 02. 2021,GORNJA RADGONA,COLOR SANDI FAJFAR S.P.,https://www.iskanjedela.si/search-jobs?jobId=2647283&STATE=Pomurska,"Izelava fasad, slikopleskarska in pleskarska dela ",22.01.2021,Pomurska,iskanjedela.si
78,MONTER BIVALNIH KONTEJNERJEV V NEMČIJI - M/Ž,21. 03. 2021,METLIKA,"MALA PLUS, proizvodnja in trgovina, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2656172&RECENCY=TODAY&STATE=Jugovzhodna%20Slovenija,"MONTAŽA BIVALNIH KONTEJNERJEV NA TERENU V NEMČIJI, MONTAŽA OBROB IN NOTRANJE OPREME V KONTEJNERJIH. DELO JE OBČASNO TUDI NA VIŠINI. ",19.02.2021,Jugovzhodna Slovenija,iskanjedela.si
79,SVETOVALEC – PRIPRAVNIK V SLUŽBI ZA UPRAVNO PRAVNE ZADEVE - M/Ž,03. 02. 2021,LJUBLJANA,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",https://www.iskanjedela.si/search-jobs?jobId=2648035&STATE=Osrednjeslovenska,GLEJ OBJAVO NA SPLETNI STRANI: HTTPS://WWW.GOV.SI/ZBIRKE/DELOVNA-MESTA/ ,26.01.2021,Osrednjeslovenska,iskanjedela.si
80,Prodajalec / blagajničar (m/ž) za PE Kranj,18.2.2021,Kranj,Eurospin Eko d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-blagajnicar-mz-za-pe-kranj-754666-754666/,/,12.2.2021,Gorenjska,optius.com
81,Mesar,/,"Ankaran, Koper",HSG KARIERA,https://www.mojedelo.com/mesar/d-516353,"Ste v iskanju nove zaposlitve in se želite novih izivov? Vas veseli delo s strankami? Si želite zanimive in razgibane zaposlitve, kjer se boste vsakodnevno srečevali z novimi izzivi? Potem ne odlašajte s prijavo!",15.2.2021,Obalno-kraška,mojedelo.com
82,Inženir kakovosti - razvojni inženir (m/ž),10.03.2021,Ajdovščina,METAL DESIGN PODJETJE ZA OBLIKOVANJE IN PROIZVODNJO KOVINSKE GALANTERIJE D.O.O.,https://www.deloglasnik.si/Zaposlitev/279581/Inzenir-kakovosti-razvojni-inzenir-mz/,  - razvoj in vzdrževanje oddelka kakovosti - sodelovanje pri določitvi kontrolnega plana izdelkov - določitev medprocesne kontrole - sodelovanje z razvojnimi tehnologi - optimizacija tehnoloških postopkov v proizvodnji - izvajanje meritev izdelko...,09.02.2021,Goriška,deloglasnik.si
83,Komisionar (m/ž) v Ljubljani,/,Ljubljana,Trenkwalder d.o.o.,https://www.mojedelo.com/komisionar-mz-v-ljubljani/d-500230,Iščemo motivirane kandidate za delo na področju komisioniranja in transportiranja blaga! Ponujamo vam dinamično delo v dveh izmenah od ponedeljka do petka. Vabljeni k prijavi!,15.2.2021,Primorsko-notranjska,mojedelo.com
84,Vodja projektov m/ž,/,Velenje,HSG KARIERA,https://www.mojedelo.com/vodja-projektov-mz/d-515740,"Za našega naročnika, mednarodno priznano razvojno-proizvodno podjetje, ki deluje na področju bele tehnike, iščemo novega sodelavca za delovno mesto Vodja projektov m/ž.",9.2.2021,Savinjska,mojedelo.com
85,Orodjar (m/ž) v Ljubljani,/,Ljubljana,Trenkwalder d.o.o.,https://www.mojedelo.com/orodjar-mz-v-ljubljani/d-516678,"Uveljavljeno slovensko podjetje, ki se ukvarja s proizvodnjo pohištvenega okovja, išče motiviranega in natančnega orodjarja, ki bo postal nov član razvojno usmerjenega in dobro organiziranega kolektiva.",17.2.2021,Osrednjeslovenska,mojedelo.com
86,ZOBOZDRAVNIK BREZ SPECIALIZACIJE Z LICENCO PPD3 - M/Ž,10. 02. 2021,ŠMARJE PRI JELŠAH,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,https://www.iskanjedela.si/search-jobs?jobId=2625021&STATE=Savinjska,OPRAVLJANJE DEL IN NALOG ZOBOZDRAVNIKA V AMBULANTI V ROGAŠKI SLATINI ,26.01.2021,Savinjska,iskanjedela.si
87,MEDICINSKA SESTRA VODJA TIMA (DIPLOMIRANI ZDRAVSTVENIK) - M/Ž,05. 02. 2021,KRANJ,DOM STAREJŠIH OBČANOV PREDDVOR,https://www.iskanjedela.si/search-jobs?jobId=2648114&STATE=Gorenjska,"-SODELOVANJE PRI PLANIRANJU, ORGANIZIRANJU IN IZVAJANJU ZDRAVSTVENE NEGE IN OSKRBE V ORGANIZACIJSKI ENOTI Z UPOŠTEVANJEM VELJAVNIH STROKOVNIH NAČEL, SMERNIC IN STANDARDOV -NAČRTOVANJE, ORGANIZIRANJE, VODENJE, SPREMLJANJE, NADZOR IN IZVAJANJE DELA ...",26.01.2021,Gorenjska,iskanjedela.si
88,TEHNIK ZA MERITVE IN REGULACIJO - M/Ž,03. 02. 2021,HRASTNIK,TOVARNA KEMIČNIH IZDELKOV D.D.,https://www.iskanjedela.si/search-jobs?jobId=2636093&STATE=Zasavska,"UGOTAVLJA IN ODPRAVLJA NAPAKE NA VSEH VRSTAH MERILNO - REGULACIJSKE TEHNIKE, VKLJUČNO S PNEVMATIČNO IN HIDRAVLIČNO REGULACIJO, VZDRŽUJE TELEFONSKO OMREŽJE TER ODPRAVLJA MANJ ZAHTEVNE OKVARE NA TELEFONSKI CENTRALI. OSTALA DELA PO NALOGU PREDPOSTAVL...",26.01.2021,Zasavska,iskanjedela.si
89,CNC operater (m/ž) v Zrečah,2.3.2021,Zreče,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/cnc-operater-mz-v-zrecah-753451-753451/,K prijavi vabimo marljive in natančne kandidate za znano in uspešno slovensko podjetje na prosto delovno mesto posluževalec CNC stroja.,2.2.2021,Savinjska,optius.com
90,"SEIZMOLOG II (M/Ž), ŠIFRA DM 908, SEKTOR ZA SEIZMOLOGIJO, URAD ZA SEIZMOLOGIJO - M/Ž",12. 02. 2021,LJUBLJANA,"MINISTRSTVO ZA OKOLJE IN PROSTOR, AGENCIJA REPUBLIKE SLOVENIJE ZA OKOLJE",https://www.iskanjedela.si/search-jobs?jobId=2651340&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"OPRAVLJANJE ZAHTEVNEJŠIH STROKOVNIH NALOG NA PODROČJU SEIZMOLOGIJE PRIPRAVLJANJE ZAHTEVNEJŠIH ANALIZ, RAZVOJNIH PROJEKTOV, INFORMACIJ IN POROČIL, KI SE NANAŠAJO NA REŠITVE NA STROKOVNEM PODROČJU SODELOVANJE V ZAHTEVNIH PROJEKTNIH SKUPINAH ",04.02.2021,Osrednjeslovenska,iskanjedela.si
91,Ključavničar-monter,/,Krško,Ekten d.o.o.,https://www.zaposlitev.info/delo/kljucavnicar-monter-6/,        Ekten d.o.o. se ponaša z več kot 20 letno tradicijo na področju izdelave in razvoja ekološke procesne opreme za industrijo. Podjetje prerašča v pomembnega mednarodnega partnerja na področju razvoja novih ekoloških rešitev za industrijo.OPI,25.1.2021,Jugovzhodna Slovenija,zaposlitev.info
92,Zidar,/,Ljubljana,VG5 D.O.O.,https://www.mojedelo.com/zidar/d-514025,"Pogoji: izkušnje na podobnih delovnih mesti, da ima sposobnost vodenja in organizacije del, da je zanesljiv, iznajdljiv ter ima sposobnost timskega dela, da ima sposobnost dobre medosebne komunikacije, da pozna navodila za varno delo oz. predpise ...",21.1.2021,Osrednjeslovenska,mojedelo.com
93,GRADBENI DELOVODJA I - M/Ž,21. 03. 2021,SEŽANA,KOMUNALNO STANOVANJSKO PODJETJE D.D.,https://www.iskanjedela.si/search-jobs?jobId=2656509&RECENCY=TODAY&STATE=Obalno-kra%C5%A1ka,"VODENJE GRADBENIH DEL NA OBJEKTIH: PRIPRAVA DELA NA GRADBIŠČU, PRAVOČASNA ZAGOTOVITEV USTREZNIH SREDSTEV, MATERIALA, STROJEV IN NAPRAV IN DRUGO, SODELOVANJE S PODIZVAJALCI IN OKOLJEM TER KOORDINACIJA DEL, SKRB ZA IZVAJANJE DEL PO TERMINSKEM PLANU,...",19.02.2021,Obalno-kraška,iskanjedela.si
94,Koordinator razvoja optike (m/ž),28.02.2021,Ljubljana,HELLA Saturnus Slovenija d.o.o.,https://www.deloglasnik.si/Zaposlitev/279708/Koordinator-razvoja-optike-mz/,  Zadolženi boste za : - koordiniranje razvoja optike - izvajanje razvojnih procesov na področju optike svetlobne opreme - spremljanje trendov razvoja na področju optike in konstruiranja svetlobne opreme ter uvajanje novosti in standardizacije - u...,11.02.2021,Osrednjeslovenska,deloglasnik.si
95,Patentni inženir,/,Ljubljana,Elaphe d.o.o.,https://www.mojedelo.com/patentni-inzenir/d-516144,Kandidat bo globoko vpleten v zbiranje evidenc o novih spoznanjih naših raziskovalcev in inženirjev. Zadolžen bo za pripravo patentnih predlogov (pojasnila tehničnih vidikov) za patentnega zastopnika. Delo vključuje analize podatkov iz patentnih b...,12.2.2021,Osrednjeslovenska,mojedelo.com
96,Diplomirana medicinska sestra / diplomirani zdravstvenik v negovalni enoti,19.02.2021,Ljubljana,Univerzitetni rehabilitacijski inštitut Republike Slovenije - Soča,https://www.deloglasnik.si/Zaposlitev/279780/Diplomirana-medicinska-sestra-diplomirani-zdravstvenik-v-negovalni-enoti/,"  - ugotavljanje potreb po zdravstveni negi in postavljanje ciljev - načrtovanje, izvajanje ter vrednotenje in dokumentiranje zdravstvene nege - načrtovanje in izvajanje procesa zdravstvene nege z upoštevanjem standardov in smernic stroke - sodelo...",12.02.2021,Osrednjeslovenska,deloglasnik.si
97,NATAKAR - M/Ž,24. 02. 2021,ŽALEC,"GOSTINSTVO, SEBASTIAN MOŽINA s.p.",https://www.iskanjedela.si/search-jobs?jobId=2647715&STATE=Savinjska,"STROKOVNA STREŽBA HRANE IN PIJAČE GOSTOM, BLAGAJNIŠKO POSLOVANJE, SKRB ZA UREJENOST LOKALA, DELO S STRANKAMI IN KOMUNIKACIJA S STRANKAMI ",25.01.2021,Savinjska,iskanjedela.si
98,POMOČ V KUHINJI - M/Ž,10. 02. 2021,NOVA GORICA,"KAVARNA AURA, GOSTINSKA DEJAVNOST - NAGIB AHMETI S.P.",https://www.iskanjedela.si/search-jobs?jobId=2651476&RECENCY=3DAYSAGO&STATE=Gori%C5%A1ka,POMOŽNI SLAŠČIČAR IN POMOŽNI PEK BUREKA ,04.02.2021,Goriška,iskanjedela.si
99,E018021 ZDRAVNIK SPECIALIST PPD3 - M/Ž,31. 01. 2021,AJDOVŠČINA,ZDRAVSTVENI DOM AJDOVŠČINA,https://www.iskanjedela.si/search-jobs?jobId=2401745&STATE=Gori%C5%A1ka,OPRAVLJANJE DEL IN NALOG ZDRAVNIKA SPECIALISTA SPLOŠNE/DRUŽINSKE MEDICINE V AMBULANTI DRUŽINSKE MEDICINE IN V NMP ,21.01.2021,Goriška,iskanjedela.si
100,Delphi razvijalec (m/ž),18.03.2021,Mengeš,Interblock d.d,https://www.deloglasnik.si/Zaposlitev/279953/Delphi-razvijalec-mz/,"  - načrtovanje in razvoj programske opreme za igralniške sisteme v Windows okolju (C#, .Net Core, Delphi) - aktivno sodelovanje v vseh fazah razvoja programske opreme od analize zahtev do testiranja - analiza problemov in razvoj kreativnih progra...",19.02.2021,Osrednjeslovenska,deloglasnik.si
101,GRADBENI TEHNIK-POMOČNIK VODJI GRADBIŠČA - M/Ž,19. 06. 2021,CERKNICA,"SAMPRT gradbeništvo, prevozi, tehnično svetovanje in servis vozil d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2656441&RECENCY=TODAY&STATE=Primorsko-notranjska,"SKRBI ZA NEMOTEN POTEK DELA IN GRADNJE NA CELOTNEM GRADBIŠČU, ORGANIZACIJA GRADBIŠČA,UREJANJE IN VODENJE DOKUMENTACIJE, OBRAČUN DEL, PRIPRAVA PONUDB... ",19.02.2021,Primorsko-notranjska,iskanjedela.si
102,VOZNIK MOTORNIH PROGOVNIH VOZIL - M/Ž,16. 02. 2021,LJUBLJANA,SŽ - ŽELEZNIŠKO GRADBENO PODJETJE LJUBLJANA D.D.,https://www.iskanjedela.si/search-jobs?jobId=2653243&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"VOŽNJA IN UPRAVLJANJE TEŽKIH PROGOVNIH STROJEV (DREZINE), UPRAVLJANJE S HIDRAVLIČNIM DVIGALOM, VODENJE EVIDENCE O VOŽNJI IN DELU STROJA, SKRB ZA BREZHIBNO IN PRAVILNO DELOVANJE STROJA, OPRAVLJANJE TEKOČEGA VZDRŽEVANJA IN SODELOVANJE PRI POPRAVILU ...",11.02.2021,Osrednjeslovenska,iskanjedela.si
103,UČITELJ-RAZREDNIK - M/Ž,15. 02. 2021,MARIBOR,OSNOVNA ŠOLA GUSTAVA ŠILIHA MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2652739&RECENCY=3DAYSAGO&STATE=Podravska,"NEPOSREDNO IZVAJA VZGOJNO IZOBRAŽEVALNO DELO KOT UČITELJ RAZREDNEGA POUKA (PROFESOR DEFEKTOLOGIJE OZ. MAGISTER PROFESOR SPECIALNE IN REHABILITACIJSKE PEDAGOGIKE). OPRAVLJA DELA IN NALOGE DOLOČENE S PREDPISI, LETNIM DELOVNIM NAČRTOM ZAVODA TER V SK...",10.02.2021,Podravska,iskanjedela.si
104,VOZNIK KOMBIJA V MEDNARODNEM PROMETU - M/Ž,10. 02. 2021,MARIBOR,"REVO, posredništvo in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2646892&STATE=Podravska,"PREVOZ BLAGA, NAKLADANJE, RAZKLADANJE, IZPOLNJEVANJE DOKUMENTACIJE, SKRB ZA VOZILO, KOMUNIKACIJA S STRANKAMI ",21.01.2021,Podravska,iskanjedela.si
105,Mesar (m/ž) v Kranju,28.2.2021,Kranj,"Mercator, d.d.",https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-mz-v-kranju-753521-753521/,/,3.2.2021,Gorenjska,optius.com
106,Prekladalec gum - skladiščnik (m/ž),13.03.2021,Kranj,FMG KADROVSKA AGENCIJA poslovne storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/279724/Prekladalec-gum-skladiscnik-mz/,  Za našega naročnika na območju Gorenjske iščemo delavce za prekladanje gum oz. delo v skladišču.  Naloge in odgovornosti: - nakladanje plaščev s palete in zlaganje na kamion - razkladanje plaščev s kamiona in zlaganje na palete - lepljenje komer...,11.02.2021,Gorenjska,deloglasnik.si
107,PRODAJALEC - M/Ž,28. 02. 2021,CELJE,"IZDELOVANJE DEKORATIVNIH, NAGROBNIH IN DIŠEČIH SVEČ MIRAN ŠEŠKO S.P.",https://www.iskanjedela.si/search-jobs?jobId=2655708&RECENCY=TODAY&STATE=Savinjska,"DELO V TRGOVINI, DELO S STRANKAMI, ARANŽIRANJE, KOMUNIKATIVNA, UREJENA OSEBA, IZKUŠNJE V ARANŽERSTVU ",18.02.2021,Savinjska,iskanjedela.si
108,Mesar m/ž Ljubljana in okolica,/,Ljubljana,Espada d.o.o.,https://www.mojedelo.com/mesar-mz-ljubljana-in-okolica/d-516131,"Opis del in nalog: prodajo mesa in mesnih izdelkov, razkosavanje mesa in pripravo mesnih izdelkov za prodajo, svetovanje kupcem in seznanjanje z novostmi, vzdrževanje sanitarne in higienske neoporečnosti blaga in prostorov...",12.2.2021,Jugovzhodna Slovenija,mojedelo.com
109,MEDICINSKI BIOKEMIK SPECIALIST - M/Ž,20. 02. 2021,HRASTNIK,ZDRAVSTVENI DOM HRASTNIK,https://www.iskanjedela.si/search-jobs?jobId=2651918&RECENCY=3DAYSAGO&STATE=Zasavska,"PRIPRAVA IN UREDITEV DELOVNIH PROSTOROV, APARATUR/ANALIZATORJEV IN DELOVNIH PRIPOMOČKOV ZA DELO, STROKOVNO VODENJE IN OBVLADOVANJE DELOVNIH PROCESOV V TEM LABORATORIJU, VODJA MEDICINSKEGA LABORATORIJA JE ODGOVOREN ZA IZVAJANJE IN KAKOVOST VSEH PRO...",05.02.2021,Zasavska,iskanjedela.si
110,KROVEC KLEPAR IN IZOLATER - M/Ž,13. 03. 2021,LJUBLJANA,"CINLOT, krovstvo kleparstvo, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2653463&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,KROVSTVO KLEPARSTVO ,11.02.2021,Osrednjeslovenska,iskanjedela.si
111,SKLADIŠČNIK LANSER - M/Ž,17. 02. 2021,TREBNJE,REM MONTAŽA IN KLEPARSTVO D.O.O.,https://www.iskanjedela.si/search-jobs?jobId=2652277&RECENCY=3DAYSAGO&STATE=Jugovzhodna%20Slovenija,"VAŠE DELO BO OBSEGALO: DELA IN NALOGE, POVEZANE Z SKLADIŠČNIM POSLOVANJEM KOT SO KOLIČINSKO, VARNO IN KAKOVOSTNO PREVZEMANJE BLAGA PRIPRAVA IN KOMISIONIRANJE BLAGA V PROIZVODNJO ALI NADALJNJO PRODAJO MANIPULACIJA, NATOVARJANJE IN RAZTOVARJANJE BLA...",09.02.2021,Jugovzhodna Slovenija,iskanjedela.si
112,E037026 DIPLOMIRANA MEDICINSKA SESTRA V SPECIALISTIČNI AMBULANTI (ODD. ZA INTERNO MEDICINO) - M/Ž,20. 02. 2021,IZOLA,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,https://www.iskanjedela.si/search-jobs?jobId=2571733&RECENCY=3DAYSAGO&STATE=Obalno-kra%C5%A1ka,OPRAVLJANJE DEL IN NALOG DIPLOMIRANE MEDICINSKE SESTRE V SPECIALISTIČNI AMBULANTI NA ODDELKU ZA INTERNO MEDICINO. ,05.02.2021,Obalno-kraška,iskanjedela.si
113,VZDRŽEVALEC I - M/Ž,29. 01. 2021,LJUBLJANA,SŽ - ŽELEZNIŠKO GRADBENO PODJETJE LJUBLJANA D.D.,https://www.iskanjedela.si/search-jobs?jobId=2646724&STATE=Osrednjeslovenska,"NEPOSREDNO VODENJE IN ORGANIZACIJA DELA SKUPINE VZDRŽEVALCEV, OPRAVLJANJE VZDRŽEVANJA IN POPRAVIL PROGOVNE IN GRADBENE MEHANIZACIJE, TER TRANSPORTNIH SREDSTEV PO NALOGU VODJE VZDRŽEVANJA PROGOVNE MEHANIZACIJE ALI VODJE AVTOPARKA IN NAVODILIH PROIZ...",21.01.2021,Osrednjeslovenska,iskanjedela.si
114,Visokoregalni viličarist (m/ž),13.3.2021,Ljubljana,Geaprodukt d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/visokoregalni-vilicarist-mz-754546-754546/,"Iščeš stabilno in dolgoročno zaposlitev? Si želiš spoznati mednarodno dejavnost, ki nikoli ne spi? Si zanesljiv, marljiv, vztrajen in pripravljen na vsakodnevne izzive? Če si odgovoril pritrdilno in iščeš zaposlitev v podjetju, kjer se boš dobro p...",11.2.2021,Osrednjeslovenska,optius.com
115,Urejevalec / Montažer (m/ž),/,Idrija,WORKFORCE d.o.o. ,https://www.mojedelo.com/urejevalec-montazer-mz/d-516750,"Naš naročnik, eden izmed največjih koncernov na Slovenskem, v svoj kolektiv vabi, odgovorne, ročno spretne in samoiniciativne posameznike za prosto delovno mesto Delavec v proizvodnji (m/ž).",17.2.2021,Goriška,mojedelo.com
116,Tehnični risar Senior,/,Ljubljana,HELLA Saturnus Slovenija d.o.o.,https://www.mojedelo.com/tehnicni-risar-senior/d-516117,"Zadolženi boste za: izdelavo zahtevnejših tehničnih risb in pripadajoče tehnične dokumentacije – kosovnic, aktualiziranje in upravljanje tehničnih podatkov z uporabo PDM..",12.2.2021,Gorenjska,mojedelo.com
